岗位名称,公司名称,最低工资,最高工资,工作地点,学位要求,工作日,截止日期,岗位描述
体育营销策略助理,华杰星光,120,150,北京,本科,5,2021/4/27,"该职位接受暑期实习&长期实习。
（应届毕业生/实习生）

岗位职责：


1.       根据项目总监/策略总监要求，对公司服务的体育公司所相关的体育项目资料搜集和背景研究，并形成报告；


2.       在项目总监/策略总监指导下，梳理相关竞争项目的资料；


3.       在项目总监/策略总监的领导下完成公司交办的其他任务。






任职要求：


1.    热爱体育营销事业，对营销创新有强烈兴趣，愿意保持开放心态、积极学习；


2.    具有大学本科及以上学历，体育、传播、广告、营销、等专业学历背景者尤佳；


3.    有良好的沟通能力、口头表达能力、书面写作能力。"
商品部实习生,PUMA,80,100,上海,不限,3,2021/4/27,"Your Mission





	Assist merchants to complete seasonal
and daily operation work , such as facilitating and completing  inline list and minisheets


	Assist in preparation of GTM
checkpoints such as sales meetings, key account pre-lines and tradeshows


	Tasks will include sample sorting,
venue set-up for meetings and sample tracking and etc.


	Assist merchants to complete seasonal
forecast system input and seasonal business analysis based on China line.
Including system maintenance, forecast updates& seasonal number
consolidation and etc.








	Your Talent





	Third-year college student or above


	Good at Excel, PPT and Word


	Excellent English both verbal &
written 


	Detail-Oriented, fast learner and good
communication skill  


	Able to work at least 2- 3 full working
days a week"
儿童短视频编导,夸克星球,100,200,北京,不限,4,2021/4/30,"1、        负责儿童动画单元剧的脚本创作及文案撰写，能手绘简单的分镜小色稿


2、        具备出色的创造力，较强的文字功底，对动画镜头语言有一定了解


3、        按照公司要求编写原创动画剧本，赋予生动语言以塑造典型人物和展现故事主题


4、        编剧、影视文学等相关专业优先


5、        脑洞大，创意新颖独特优先"
阿迪达斯实习生,阿迪达斯,80,150,沈阳,大专,3,2021-04-2,岗位职责:欢迎加入阿迪达斯直营零售店！岗位职责：1、以优质的客户服务和专业的产品知识满足顾客的需求并促成销售2、协助执行和维护既定的视觉营销及店内宣传标准3、成为品牌大使，不断展示品牌观念和价值4、完成商品的来货验收、补货、退货等日常营运工作5、留意和阻止发生店铺盗窃，当发生时通知有关人员6、有效合作，尊重团队成员岗位要求：1、满18周岁，专科以上在校学生2、每周能提供不少于20小时工时3、关注时尚，热爱运动，乐于接受挑战4、具有较强的服务意识及良好的学习、沟通及团队协作能力5、具有一定英语沟通能力者优先培训及福利：1、时薪月结，实习满240个小时且表现优异，可享受调薪2、实习满240个小时，每周保证20个小时以上工作时间，享有当季工服3、实习满240个小时，公司可提供实习证明4、实习表现优异者，可获得店铺留任机会或有机会加入adidas零售精英成长计划
阿迪深圳壹方城三叶草实习,阿迪达斯,80,160,深圳,大专,7,2022/3/11,"岗位职责:

	岗位职责：
1、	以优质的客户服务和专业的产品知识满足顾客的需求并促成销售
2、	协助执行和维护既定的视觉营销及店内宣传标准
3、	能成为品牌大使，不断展示品牌观念和价值
4、	完成商品的来货验收、补货、退货等日常营运工作
5、	留意和阻止发生店铺盗窃，当发生时通知有关人员
6、	有效合作，尊重团队成员

岗位要求：
1、	满18周岁，专科以上在校学生
2、	每周能提供不少于20小时工时
3、	关注时尚，热爱运动，乐于接受挑战
4、	具有较强的服务意识及良好的学习、沟通及团队协作能力
5、	具有一定英语沟通能力者优先

培训及福利：
1、	21元/小时，按月结算，实习满240个小时且表现优异，可享受调薪
2、	实习满240个小时，每周保证20个小时以上工作时间，享有当季工服
3、	实习满240个小时，公司可提供实习证明"
阿迪达斯西安砂之船实习,阿迪达斯,100,200,西安,不限,5,2021/5/1,"岗位职责:

	岗位职责：
1、	以优质的客户服务和专业的产品知识满足顾客的需求并促成销售
2、	协助执行和维护既定的视觉营销及店内宣传标准
3、	成为品牌大使，不断展示品牌观念和价值
4、	完成商品的来货验收、补货、退货等日常营运工作
5、	留意和阻止发生店铺盗窃，当发生时通知有关人员
6、	有效合作，尊重团队成员


任职资格:

	岗位要求：
1、	满18周岁，专科以上在校学生
2、	每周能提供不少于20小时工时
3、	关注时尚，热爱运动，乐于接受挑战
4、	具有较强的服务意识及良好的学习、沟通及团队协作能力
5、	具有一定英语沟通能力者优先

培训及福利：
1、	17元/小时，按月结算
2、	实习表现优异者，可获得店铺留任机会或有机会加入adidas零售精英成长计划"
阿迪达斯长沙时代实习生,阿迪达斯,100,200,长沙,大专,5,2021/4/24,"岗位职责:

	欢迎加入阿迪达斯直营零售店！

岗位职责：
1、以优质的客户服务和专业的产品知识满足顾客的需求并促成销售
2、协助执行和维护既定的视觉营销及店内宣传标准
3、成为品牌大使，不断展示品牌观念和价值
4、完成商品的来货验收、补货、退货等日常营运工作
5、留意和阻止发生店铺盗窃，当发生时通知有关人员
6、有效合作，尊重团队成员

岗位要求：
1、满18周岁，专科以上在校学生
2、每周能提供不少于20小时工时
3、关注时尚，热爱运动，乐于接受挑战
4、具有较强的服务意识及良好的学习、沟通及团队协作能力
5、具有一定英语沟通能力者优先

培训及福利：
1、时薪月结，实习满240个小时且表现优异，可享受调薪
2、实习满240个小时，每周保证20个小时以上工作时间，享有当季工服
3、实习满240个小时，公司可提供实习证明
4、实习表现优异者，可获得店铺留任机会或有机会加入adidas零售精英成长计划"
阿迪达斯长沙砂之船实习生,阿迪达斯,100,200,长沙,大专,5,2021/4/24,岗位职责:欢迎加入阿迪达斯直营零售店！岗位职责：1、以优质的客户服务和专业的产品知识满足顾客的需求并促成销售2、协助执行和维护既定的视觉营销及店内宣传标准3、成为品牌大使，不断展示品牌观念和价值4、完成商品的来货验收、补货、退货等日常营运工作5、留意和阻止发生店铺盗窃，当发生时通知有关人员6、有效合作，尊重团队成员岗位要求：1、满18周岁，专科以上在校学生2、每周能提供不少于20小时工时3、关注时尚，热爱运动，乐于接受挑战4、具有较强的服务意识及良好的学习、沟通及团队协作能力5、具有一定英语沟通能力者优先培训及福利：1、时薪月结，实习满240个小时且表现优异，可享受调薪2、实习满240个小时，每周保证20个小时以上工作时间，享有当季工服3、实习满240个小时，公司可提供实习证明4、实习表现优异者，可获得店铺留任机会或有机会加入adidas零售精英成长计划
活动执行（实习生）,茵跑体育,100,150,上海,本科,5,2021/5/31,"职责描述：


	1.辅助项目经理进行活动调研，场地协调，物料准备及供应商沟通等工作；


	2.活动现场人员协调、流程管理等执行工作；


	3.数据表格、文字图片整理。


	 


	岗位要求：


	1.21-22级毕业生，可一周到岗5天；


	2.本科以上学历，有参与或组织过大型校园活动、社会实践或广告会展类行业的实习经历；


	3.熟练操作办公软件，沟通能力佳；


	4.乐观向上、吃苦耐劳、责任心强。"
测试开发实习生（风控研发方向）-ZP2102237114,京东,200,280,北京,硕士,5,2021/6/30,"工作内容： 
1、熟悉java或python语言，可利用技术手段解决工作过程中各种问题； 
2、有数据运营、数据分析、风控系统、电商相关经验者最佳；
3、熟悉软件测试流程，负责风控系统测试相关工作；
4、完成部门交付的其他工作。
任职资格： 
1、计算机或相关专业，国内外院校全日制在读硕士研究生、博士研究生； 
2、积极、主动、有责任心，有一定沟通以及解决问题能力；
3、可实习至少三个月，每周到岗5天。"
安全体系建设实习生,滴滴,150,200,北京,本科,5,2021/5/31,"""工作职责：

（1） 负责支持安全专家完善公司安全管理体系化建设，包括从安全管理体系构建到落地的整个项目推进工作；
（2） 负责组织相关人员对项目进度的管理，推动项目落地达标、反馈和落实跟踪。
（3） 梳理相关行业的法律法规要求、实践标准的收集
（4） 支持安全项目内部宣传、活动策划；
（5） 支持安全数据监测、安全产品效果分析，安全产品开发需求编写

任职资格：

（1） 安全管理、交通运输相关专业研究生学历；
（2） 有过企业安全体系搭建、项目管理的实习经验为佳；
（3）有较强的会议组织能力、简单的PS图片处理能力；
（4） 作时间期望周一到周五（可根据学业情况进行调整）"""
KPL电竞赛事采编,众乐互娱,150,200,上海,不限,5,2021/5/4,"请你免费线下观赛~


	本职位需要有视频独立拍摄剪辑能力、自有设备、对KPL比较了解的同学哦





	【岗位职责】：
1、协助KPL赛事类微博账号的内容策划，跟进电竞比赛，收集素材，挖掘热点；
2、负责赛事的现场采访、拍摄、素材剪辑；

【任职要求】：
1、优秀的拍摄审美，较熟练的摄影摄像、后期剪辑包装技能，自有摄像设备；
2、聪明开朗、应变能力强、擅于沟通、抗压能力强；
3、王者荣耀资深玩家，了解KPL，渴望从事电竞赛事相关的职业；
4、有一定的文字功底，了解粉丝运营，脑洞大，是个段子手；
5、喜欢混迹微博、抖音、豆瓣等互联网平台，较高的新闻敏感度。"
ZP2103269952-需求分析实习生,京东,200,250,北京,本科,5,2021/7/31,"工作内容： 
1、参与大数据平台建设项目，协助推进项目相关事项； 
2、完成及完善运维部门的输出项目； 
3、参与项目自动化构建及其文档输出； 
4、处理工作的其他问题
任职资格： 
1、2022年及以后毕业的在校生，211及985大学优先 
2、具备计算机基础知识，熟悉网络原理，操作系统原理，了解基本脚本语言如shell、python等使用 
3、了解常用数据库的基本原理，熟悉常用标准SQL的使用 
4、了解大数据的基本原理，能够对HADOOP的生态圈中产品的各自功能和作用简要描述 
5、了解LNMP架构，能够在模拟环境独立完成安装部署 
6、抗压能力强，优秀的学习能力 
7、实习时间3个月以上 福利：各种内购与员工福利；大平台，好项目，成长快；优秀team～"
新媒体运营实习生,中团网络科技,100,100,重庆,大专,5,2021/12/11,"岗位职责


	1.负责微信公众号的日常运营和维护工作；


	2.喜欢玩微信、抖音、微博等软件；


	3.完成上级安排的其他工作事项，有团队合作精神；





	任职要求


	1.接收应届毕业生，对经验要求不高，有较强的逻辑思维能力，善于思考，学习


	2.公司定期组织各类专业技能培训，提供长期职业发展的晋升通道；


	3.周末双休，享受国家法定节假日"
产品运营实习生-ZP2103154231,京东,120,180,北京,本科,5,2021/6/30,"工作内容： 
1、负责现金贷业务的产品运营工作，包括客户需求收集及客诉处理等工作； 
2、监测用户增长、活动效果数据指标及对应的产品需求支持； 
3、其他业务运营、流量运营对应的产品支持工作。
任职资格： 
1、22届本科以上学历，金融相关专业背景优先； 
2、了解银行、互联网金融等金融机构工作内容优先； 
3、沉稳细心，有服务意识； 
4、熟练使用SQL，具备基本的数据分析能力。"
物联网设备技术支持实习生,中国信息通信研究院,50,100,重庆,大专,5,2021/6/30,"岗位要求：
1.专科及以上学历，计算机、物联网工程、电子信息工程等相关专业；


2.具有较强的分析能力、领域能力，有良好的团结协作精神；
3.学习和动手能力强，独立自主，熟悉office办公软件。



岗位职责：

1.在导师培训和指导下，从事物联网项目实施支持工作；
2.协助整体项目设备技术支持事宜，并负责对项目文件的收集、整理、归档管理；

3.服从分配，完成上级主管及导师的任务。






福利待遇：
 - 留用机会, 快人一步获得中国信息通信研究院西部分院Offer &semi;
 - 专业导师, 带你积累实战经验，未来成为专业人士；
 - 免费住宿, 配套完善、拎包入住的温馨小屋；
 - 额外福利, 午餐补贴、商业保险、专业培训、体育活动等。"
基金量化分析师,她理财,200,400,北京,硕士,5,2021/4/27,"职位描述：  
1、对基金机构及基金经理进行定性和定量研究，维护基金池；  
2、参与金融产品量化分析平台建设和工具开发；  
3、参与量化投资策略开发，构建量化模型；  
4、熟悉资产投资组合理论，参与资产配置模型开发；  

任职资格：  
1、金融、金融工程、统计学等相关专业全日制硕士以上学历；  
2、有量化投资研究经验、有研发实务模型的能力和经验者优先  
3、具备扎实的数据分析基础，至少掌握一种数据分析软件，Matlab、R、SAS等，熟悉python语言优先；  
4、具备一定数学及数理统计基础；"
新媒体文案实习,原力纵横,150,200,北京,本科,5,2021/5/31,"职位描述：



职位诱惑：掌管品牌客户新媒体超级大号的运营，负责制造跟年轻有关的文字，可以大胆跟资深的老套say NO，你就是传说中人见人爱的超级小编。

职位描述/工作职责：
1、新媒体内容策划(30%%)：学习。系统熟悉品牌客户官方新媒体平台运营法则及创意形式，参与微信、微博、抖音等平台内容的选题策划及广告创意，进行头脑风暴，发表极具年轻基因的idea；
2、新媒体内容执行（60%%）：实践。结合节日热点、年轻文化、网络现象等元素，完成品牌客户新媒体平台的素材收集、框架编辑、撰写文稿、抖音视频拍摄、配图创意、排版设计，终独立完成广告内容执行；
3、公司创意竞赛（10%%）：游戏。参与丧心病狂脑洞大赛、兴趣交换分享、脂肪对抗基金等公司内部活动，体验公众演讲、视觉审美、运动自律等能力的被迫式提升，展现年轻人态度，收获白眼、掌声或奖金。

任职要求/岗位要求：：
1、脑洞深邃，脑洞活跃，脑洞会爆炸；
2、对世界充满好奇，靠谱、主动、执行力强；
3、文字功底良好，能在指导下完成新媒体文稿撰写，能独立完成更好；
4、实习时间3个月以上。
加分项：
1、可长期实习，且转正几率极大；
2、抖音、B站、知乎、小红书等新媒体重度用户；
3、有自己深爱的爱豆，或者爱刷剧，或者刷综艺，或者爱打游戏，或者爱耽美文，anyway希望你是一个“贪玩”的好孩子；
4、密切关注各类网络热点，段子，微信公众号，并能总结转发率高的文章的共性。

待遇情况/你将获得：
1、实习满3个月提供实习证明
2、丰富的职业管理者，依据你的性格、能力优势、个人偏好给予对你负责的职业规划，公司坚持对每个小伙伴负责，一起成长，不迷茫，不走弯路
3、与一群极具魅力的职场老咖和的年轻小伙伴共同工作，蜕变是必然的
4、年轻范儿的团建活动，温馨欢乐的生日会、年会、年中国内旅行、年终海外旅行，职场生活也富有人情味
5、转正机会，公司校招全部是从实习生中选择，而且数量可观"
电商美工设计实习生,弗洛伊德,100,150,广州,本科,4,2021/4/30,"工作职责：







负责对公众号整体界面进行设计、更新；




设计编辑排版制作各种内容长图、海报；




			其他与美术设计相关的工作。
		



	所需技能：







具有美术功底，有优良的审美能力，独特的创意，学习过绘画，对设计趋势保有敏锐的感知能力；




熟练掌握Photoshop、 AI等设计软件；




具备一定文案创意编辑能力；




思维敏捷，思路开阔，想象力强，脑洞大




你所关注的：


1、本职位接受在校实习生，提供实习补贴；


3、提供舒适的办公环境；位于地铁口附近、交通便利；长期提供咖啡、零食和水果，定期举办茶话会“吹水”聊天，交流感情；


4、实行扁平化管理、团队成员（包括老板）基本为90后，年轻有活力，工作氛围好；









简历投递：


1.简历上须有邮箱和手机号码。


2.如果你有作品，请给我们发一份or几份与职位有关的作品。


4.简历通过筛选会把结果发送到你的邮箱。"
后端研发实习生-ZP2103155444,京东,200,250,北京,本科,5,2021/7/30,"工作内容： 
1、 参与相关产品需求讨论,评审和软件设计； 
2、 按照项目计划，按时提交高质量代码，完成开发任务； 
3、 规范文档的编写、维护，以及其他与项目相关工作； 
4、 参与京东核心业务系统架构设计及优化。
任职资格： 
1、 大学本科以上学历，计算机或相关专业；3年以上java实际项目开发经验； 
2、 有扎实的Java基础，Java多线程、并发； 
3、 熟悉主流开源应用框架，如Spring、iBatis、XML、JSON、Maven等开发技术； 
4、 熟悉设计模式、OOA/OOD； 
5、 熟悉关系型数据库MySQL Oracle等，SQL优化； 
6、 熟悉Memcached、MongoDB、Redis等； 
7、 熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息、负载均衡等机制和实现； 
8、 热爱技术，对技术有不懈的追求，喜欢研究开源代码； 
9、 良好的学习能力、团队协作能力和沟通能力；善于思考，能独立分析和解决问题。"
ZP2103221080-产品运营实习生,京东,120,180,北京,本科,5,2021/7/30,"工作内容：
1. 日常整合分析海外本地运营团队用户运营数据，协助管理海外公司的产品增长与运营工作；
2. 协助整体运营数据和用户数据的监控与分析，基于数据分析提出针对性的产品改进与活动优化方案；
3. 协助与本地运营团队配合，制定运营工作流程，完成运营活动创意， 规划搭建运营体系，达成增长目标。
任职资格：
1. 英语沟通熟练，可作为工作语言，泰语为加分项&semi;
2. 本科以上在读学历，有海外留学背景优先；
3.对数据敏感，具备较强的数据分析能力能够基于数据分析制定对应的运营方案； 
4. 熟练运用Excel, PowerPoint, Xmind等办公软件；
5. 优秀的沟通协作，执行及项目管理能力，强烈的责任心和项目驱动力；
6.至少实习3个月，可长期实习优先。"
商务代表业务/电子商务,无限动力,100,150,郑州,大专,5,2021/5/1,"岗位职责： 1、开发需要做网站的客户，拜访客户，促成签单； 2、以产品受众群体为导向，搜集目标客户信息，结合客户需求制定适合客户的网站模板； 3、该岗位提供全方位带薪培训，能够快速了解行业及销售技能。 【任职要求】 1、大专以上学历，有无工作经验均可 2、思维敏捷，应变能力强； 3、网络、营销类专业优先，可接收应届毕业生。 我们提供什么： 1. 职业规划：作为长跑11年的即将上市型公司，我们为每位员工提供清晰的职业规划，无论是成为销售的精英还是的企业管理者。 2. 薪资福利：底薪（2300-5500）+餐费+丰厚的提成+奖金+通讯补贴(不同的职级岗位，相应的通讯补助) 。 3. 五险一金：公司为每一名员工提供养老保险、失业保险、工伤保险、医疗保险、生育及大病保险和住房公积金； 4. 培训体系：我们采取以老带新，一对一全新领带转正模式，师徒之情伴随你整个动力职业生涯。同时动力无限拥有自己的动力大学堂，时时让您获取新的行业知识及专业能力的提升。 5. 带薪假日：享受所有的带薪法定国家假日，同时转正之后还将享受带薪年假，病假，婚假，丧假，产假等其它假日。6. 其它福利：员工可以享受每年一度的全国精英年会，同时公司每年都会组织员工进行免费的国际、国内游。7.作息时间:8:30-12:00,14:00-18:00,五天半工作制（如果您是找朝九晚五，周末双休的销售工作请慎投！） 你能得到什么： 1. 公平：同等的平台、同等的环境、同等的机会，不一样的是你自己的努力； 2. 公正：我们会用心去爱每一名同事，因为我们都是年轻人，有的都是共同的语言。 3. 公开：晋升表彰公开透明，业绩，人品，二者缺一不可。 4. 在无限动力，你可以迅速与同龄人拉开差距，无论是能力的提升还是金钱的收入，我们可以让你的梦想从这里起飞。2017我们正式上市了，无限动力欢迎有志青年的加入！！应聘流程： 1.应聘者了解清楚自己所期望的职位投递简历。 2.我们将会对简历进行筛选，简历通过初选后在1-2个工作日内电话以短信通知面试；面试时间与地址会短信通知。 投递简历时，请不盲目申请多个职位；面试时间：早上9点至11点，下午2点到5点，有意者可直接到公司面试。"
编导实习生,新焦点,100,150,北京,本科,5,2021-0-04,"岗位职责：
1.撰写短视频创意，做文案策划
2.参与公司账号策划拍摄制作
3.仅限在校大三，大四学生广播电视编导专业，新闻等传媒类专业学生
任职要求：
1. 抖音快手的重度患者，脑洞大
2. 会基础的手机剪辑软件（不会可教）
3. 较强的执行力以及团队合作能力，较好的学习能力
4. 我们是内容电商短视频行业，只要你肯学习，肯上进，态度好，我们都欢迎！
三：薪资待遇
1. 薪资3000-5000
2. 工作时间：早10:00-晚7:00 周末双休"
视频制作实习生,三度图书,100,120,广州,大专,5,2021/5/31,"1、参与设计及创意领域的内容制作，深入了解及探索创意领域的受众需求；


	2、了解拍摄方案，负责原创视频内容拍摄；


	3、与运营人员沟通，按策划完成素材整理、视频后期剪辑、视觉特效等视频后期工作；


	4、对同类型视频账号进行调研分析，为内容脚本提供意见；





	职位要求：


	1.大专以上学历，熟练使用AE、PR、PS、Final Cut等软件，能够熟练进行后期剪辑、转场、合成、去噪与特效；


	2.能把控视频的节奏、整体风格及视觉呈现效果；


	3.爱好视频内容，熟悉抖音、快手等主流短视频平台，B站、抖音重度用户优先；


	4.对设计文化领域感兴趣，熟悉设计文化类平台为佳；"
安全研发实习生-ZP2102208864,京东,200,280,北京,本科,5,2021/7/31,"职位描述： 
1、参与安全产品相关研发工作工作，密码学或信息安全方向专业优先；
2、与同事一起完成安全产品开发，方案设计工作，跟进产品周期全过程；
3、协助部门完成其他工作。
任职资格： 
1、名校信息安全相关专业； 
2、熟悉对称，非对称等国密安全算法，国际安全算法,对信息安全技术有基础了解； 
3、具有AI算法背景同学优先；
4、至少熟悉一门编程语言，C、C++，java，Goland； 
5、重视细节，追求像素及精神。"
新媒体运营实习生(公益方向),字节跳动,150,200,北京,本科,5,2021/5/3,"职位描述

1、运营公益官方自媒体账号：包括不限于热点跟进、文案撰写、创意策划、视频制作等；




2、定期监控数据，并通过数据收集和效果分析，评估内容传播效果并沉淀相关方法论；


3、运营活动的方案策划及落地执行。


职位要求


1、熟悉今日头条、抖音等产品，对公益有浓厚兴趣；

2、文案功底扎实，能找到有角度的传播点；




3、有一定的数据分析能力、有互联网运营、新媒体实习经历优先；


4、工作细心，踏实认真，责任心强，擅长沟通，逻辑清晰；


5、熟悉秀米，具备图片处理、视频拍摄及剪辑能力，有优秀视频作品可附上链接；


6、本科及以上学历，每周能实习5天、能保证3个月及以上实习时间者优先。"
研发项目经理实习生-ZP2103092488,京东,200,250,北京,本科,5,2021/6/30,"工作内容： 
1、负责支付业务相关产品、研发、合规、审计、财税等项目/需求承接及管理，组织开展项目承接启动、项目评审，推进项目实施落地，监控解决项目风险，跟进项目收益，以科学、系统的项目管理工具及方法，提升项目交付质量及效率； 
2、负责面向业务改进、产品落地、产品收益的深度产品、数据、业务、项目经营分析，为管理层提供决策支撑； 
3、负责部门内产研团队协调工作，通过项目周报、项目月会、项目复盘等周期性项目信息同步机制等项目管理动作，持续推进项目交付； 
4、负责主导进行项目复盘及经验总结，形成组织过程资产，并跟进项目交付后的项目运营、项目质量监控、项目收益监控等项目交付后工作，持续提升项目满意度。
任职资格： 
1、统招本科及以上学历，项目管理相关专业者优先； 
2、具备较强的协调、沟通、学习能力，愿意接受挑战，能承受高强度和快节奏的工作； 
3、具备较强的文字组织能力、总结归纳能力，能高质量撰写项目相关文档； 
4、有数据分析、数据产品经理、互联网产品经理经历者优先； 
5、有PMP证书、IPMP证书、信息系统项目管理师证书者优先。"
新媒体运营实习生,励尚公关,100,120,北京,本科,4,2021/4/26,"The Plot Thickens: Job Description


	Interns will be asked to carry out the following tasks to support
their team:


	+      Social media monitoring: Monitor social media
platforms and media coverage.


	+      Writing: Draft social media posts for WeChat, bilingual
creative materials, etc.


	+      Creative: Support creative production with global teams and
design basic posters for social media.


	+      Research: Search for marketing data and trends, put together
preliminary findings for clients and new business pitches, etc.


The Hero’s Background: Qualifications


	+      Good command of written and spoken English and Chinese&semi; good command of
spoken Mandarin is a plus


	+      A working knowledge of Microsoft Office which
includes Word, Excel, Outlook and PowerPoint&semi;
Photoshop, Illustrator, Keynote and video editing is a plus


	+      Pursuing a bachelor’s degrees in Business,
PR/Advertising, Communications, Journalism or Linguistics


	+      Possession of a leadership role in any
extracurricular activity


	+      Can work 4 – 5 days/week, 3 months


We Offer:


+     100 – 120 RMB/day salary


+     One-to-one mentor


+     Snacks and coffee


+     Relaxed working atmosphere"
新媒体运营/内容运营,CloudOne,120,180,上海,本科,3,2021/6/30,"主要工作：用户运营、内容运营、活动运营、品牌IP形象塑造和日常维护工作
1、用户运营：挖掘新用户，维护老用户，保持与用户一定密度的互动交流；
2、内容运营：基于每月的运营目标，就日常官方内容、品牌文案和固定栏目内容进行撰写与发布；
3、活动运营：就项目官方论坛，每月策划5个线上与用户互动的小活动，不定期还有线下活动的策划需要。支撑并促进项目每月核心绩效目标的达成，比如日活、月活、参与度等；
4、品牌IP形象塑造：基于品牌IP形象的定位，用合适的文字调性与用户进行互动，并产出品牌IP形象塑造相关文案；
5、日常维护：包括后台文章运维管理、问题及时回复、私域用户互动及问题回复、项目基础数据统计整理等。

要求
1、为人踏实，有自学能力
2、对social比较热爱，对社交媒体有一定的基础理解
3、能写social文案
4、如果有线上活动策划能力最好
5、最好是广告、新闻学等相关专业"
新媒体运营实习生,市场易Custouch,120,180,上海,本科,3,2021/4/30,"岗位职责：
1.负责自媒体的日常维护和运营，包括方案撰写、涨粉、互动、舆情监测等；重点建设微信公众号的品牌形象、维护粉丝粘度与活跃度；
2.能够根据不同市场活动、品牌活动的需要，策划相关线上活动，并撰写相关新媒体文案，把控设计风格；
3.的实习生可留用；

任职要求：
1.媒体、广告、新闻、市场、中文等相关专业，具备文案内容拟写能力，有原创稿件能力；
2.熟悉微信排版、基础版面设计、插入视频、动态图等功能；
2.有主动学习的意识，有强烈的责任感和良好的团队合作精神，对新鲜事物和网络资讯有敏锐的洞察力；
3.对微信有浓厚的兴趣，能够完成专题策划、活动执行等，具备自媒体采编、运营及推广经验者优先；
4.熟悉掌握PS等做图软件优先。"
新媒体运营实习生,鸿路科技,120,150,上海,本科,3,2021/4/30,"运营实习生 


	岗位职责：

1、负责统计博主发布进度
2、负责同步博主稿件给客户

	3、其他案头工作


	任职要求：


	1、熟练使用电脑及各种办公软件


	2、责任心强，踏实认真





	公司主要业务是小红书平台的营销策划及后期执行，团队整体偏年轻，管理扁平化，没有职级之分，团队氛围好。


	创始团队来自小红书、网易，注重员工的培养和潜力的发掘。




待遇：工作日120/天，月结。提供实习证明"
新媒体运营实习生,快手,150,200,北京,本科,4,2021/5/3,"工作职责： 


1、视频策划、剪辑与传播； 


 2、其他日常工作，包括选题、文案写作、互动维护、数据梳理等； 


3、协助其他部门伙伴，支持活动落地。






任职要求： 


1、一定的文案写作、剪辑、设计能力，有视频制作经验，能够熟练操作Pr（或Fcp）、Ps、AE等软件； 


2、有短视频自媒体运营经验优先，可实习3个月以上，每周保证4天以上实习； 


3、具有很好的沟通能力、学习能力和一定的创作意愿； 


4、脑洞大，能落地。"
新媒体内容运营,simplyBrand,100,120,上海,本科,5,2021/5/3,"岗位职责：
1、参与公司官网、微博、微信等的内容编辑、发布、维护、管理、互动；
2、有独立的文案创意策划和执行能力，已现有素材为基础编辑、创作相关文章发布在微信等新媒体上。传播互联网科技高质量内容，有趣地宣传公司产品特性，带动粉丝自然增长；
3、紧跟微信发展趋势，深入了解微信特点及资源，广泛关注标杆性公众号，收集市场反馈及行业情报；
4、协助公司及市场部进行其他工作事宜。

任职条件：
1、互联网深度用户，关注各类新媒体；
2、对网络和社会热点有敏锐嗅觉，有图文编辑能力、懂事件营销、粉丝经济等优先；
3、有一定的英语阅读能力；
4、思维敏捷，沟通协作能力强；有责任心，认真踏实，对工作质量要求高；
5、有微博、微信、app或互联网产品推广经验，广告公司策划、客服经验优先，各类网络社区的活跃用户优先，如豆瓣、人人、天涯、猫扑、贴吧等，有互联网行业从业经验者优先；有创意，还可以是个***段子手；
6、具备基础的内容编辑工作经验，包括文字及页面美化，会简单PS优先；
7、每周3-5天，3个月以上"
新媒体运营实习生,维格智数,150,250,深圳,本科,4,2021-10-2,"【岗位职责】

1、负责移动互联网自媒体平台（微信、微博、知乎等各类自媒体账号）的日常运营推广工作，协助完成内容分发和渠道建设；

2、协助完成企业服务市场的调研、策划及执行工作；

3、根据运营情况及时调整运营策略，保证运营目标的实现；


【岗位要求】

1、本科以上学历，至少实习3个月，每周至少4天；

2、对to B的企业服务市场感兴趣；

3、有一定的文字撰写和内容排版功底，擅长总结整理；

4、有较强的学习能力和执行力能力，能适应多任务并行、高强度的工作节奏；

5、有内容实习经验、包括自媒体运营相关经验者优先。

















【维格介绍】

维格智数成立于2019年，在成立之初即获得了3家清科排名T0P10的IDG资本、天图资本、晨兴资本的数千万天使轮融资。

团队成员皆来自阿里巴巴、字节跳动、新浪、Protegrity等全球科技公司的核心骨干，相比去大厂做一个渺小的螺丝钉，你可以在这里1v1和CEO battle，你提出的idea有可能影响数百万互联网人，我们鼓励每一位成员去创新和创造，有能力的伙伴，我们同样提供转正机会，并对接一线互联网资源配合你成长和发展，实现职场的弯道超车。

在这里只有三种人，Maker创造者、Designer设计师、Engineer工程师，没有管理者 Fuck Manager；

我们致力于定义数字工作平台的未来，用创新工具打造一个能连接人与创造力的奇妙世界，成为一家能深刻影响业界、能颠覆式创新、能代表中国之光的数字工具公司。"
